,user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
5744,28487,DEU,0,181,73,34.0,18,2010-09-05 22:00:00,2015-04-21 22:00:00,44,38,29,42,35.0,2010,2015
5745,28498,POL,0,180,68,30.0,10,2009-04-08 22:00:00,2017-09-09 22:00:00,1529,44,44,62,43.84565075212557,2009,2017
5746,28499,PRT,0,175,63,22.0,8,2009-09-02 22:00:00,2017-06-07 22:00:00,70,48,48,57,43.82857142857143,2009,2017
5747,28503,ESP,0,159,58,41.0,21,2008-10-14 22:00:00,2010-07-18 22:00:00,6,66,53,66,60.5,2008,2010
5748,28508,BRA,0,175,68,28.0,12,2009-11-23 23:00:00,2009-11-23 23:00:00,1,41,41,41,41.0,2009,2009
5749,28513,BRA,0,180,73,39.0,16,2008-01-09 23:00:00,2012-02-18 23:00:00,47,43,42,53,42.82978723404256,2008,2012
5750,28515,FRA,0,185,73,31.0,12,2009-08-29 22:00:00,2010-07-16 22:00:00,5,49,57,57,51.2,2009,2010
5751,28520,HRV,0,178,78,25.0,8,2010-03-29 22:00:00,2011-07-08 22:00:00,10,28,36,44,34.3,2010,2011
5752,28525,CHE,0,184,78,34.0,10,2009-09-19 22:00:00,2017-05-09 22:00:00,99,40,44,49,42.39393939393939,2009,2017
5753,28532,ITA,0,178,68,24.0,10,2009-09-28 22:00:00,2009-09-28 22:00:00,4,59,44,59,47.0,2009,2009
5754,28533,ESP,1,164,48,36.0,21,2007-03-01 23:00:00,2011-08-20 22:00:00,141,36,49,51,40.0709219858156,2007,2011
5755,28534,PRT,0,174,93,49.0,19,2009-09-04 22:00:00,2011-08-26 22:00:00,42,29,33,38,31.857142857142858,2009,2011
5756,28539,PRT,0,180,88,32.0,8,2009-10-16 22:00:00,2009-10-02 22:00:00,2,33,33,33,33.0,2009,2009
5757,28543,NOR,1,173,63,27.0,12,2009-06-05 22:00:00,2013-05-18 22:00:00,16,44,29,44,38.25,2009,2013
5758,28545,DEU,0,178,68,29.0,11,2009-08-21 22:00:00,2017-08-01 22:00:00,96,40,46,64,48.44791666666666,2009,2017
5759,28553,other,1,172,53,38.0,11,2009-08-30 22:00:00,2009-10-05 22:00:00,30,35,36,42,36.9,2009,2009
5760,28556,USA,0,176,68,40.0,22,2009-09-09 22:00:00,2009-09-09 22:00:00,1,56,56,56,56.0,2009,2009
5761,28563,RUS,0,179,73,35.0,10,2009-04-30 22:00:00,2010-05-07 22:00:00,23,31,36,40,35.47826086956522,2009,2010
5762,28584,ESP,0,165,68,49.0,10,2009-09-08 22:00:00,2010-09-03 22:00:00,59,40,42,46,39.74576271186441,2009,2010
5763,28585,ESP,1,161,48,31.0,7,2010-10-02 22:00:00,2017-09-09 22:00:00,403,44,57,59,45.15384615384615,2010,2017
5764,28598,USA,0,182,78,25.0,9,2011-08-29 22:00:00,2011-08-29 22:00:00,1,40,40,40,40.0,2011,2011
5765,28601,SVN,0,173,58,40.0,10,2009-06-03 22:00:00,2009-06-10 22:00:00,2,49,49,49,49.0,2009,2009
5766,28602,NLD,0,190,78,34.0,15,2009-09-16 22:00:00,2012-08-03 22:00:00,45,38,29,53,39.66666666666666,2009,2012
5767,28604,NLD,0,192,73,33.0,13,2009-01-03 23:00:00,2017-07-22 22:00:00,346,49,54,64,51.6878612716763,2009,2017
5768,28606,USA,0,192,68,27.0,18,2009-09-11 22:00:00,2010-07-03 22:00:00,9,51,51,51,41.77777777777778,2009,2010
5769,28607,other,0,187,73,24.0,10,2010-04-17 22:00:00,2010-04-17 22:00:00,1,52,52,52,52.0,2010,2010
5770,28612,ESP,0,177,68,43.0,11,2009-09-09 22:00:00,2009-11-27 23:00:00,16,44,51,51,44.125,2009,2009
5771,28614,HRV,0,178,73,36.0,10,2009-09-12 22:00:00,2017-06-03 22:00:00,170,42,38,59,43.87647058823529,2009,2017
5772,28625,PRT,0,172,73,40.0,12,2009-09-13 22:00:00,2011-03-12 23:00:00,5,42,46,46,44.4,2009,2011
5773,28631,SVN,0,178,63,23.0,15,2009-06-21 22:00:00,2011-03-04 23:00:00,78,51,44,66,47.23076923076923,2009,2011
5774,28635,FRA,0,173,63,26.0,16,2009-08-11 22:00:00,2012-10-03 22:00:00,37,59,49,59,52.51351351351352,2009,2012
5775,28638,ESP,1,164,53,45.0,8,2009-04-18 22:00:00,2010-09-01 22:00:00,57,31,42,44,36.175438596491226,2009,2010
5776,28644,POL,0,180,78,31.0,14,2011-05-07 22:00:00,2017-08-16 22:00:00,210,40,42,62,41.63809523809524,2011,2017
5777,28645,ESP,0,179,73,38.0,11,2011-03-28 22:00:00,2017-08-12 22:00:00,58,51,54,57,50.36206896551724,2011,2017
5778,28649,NLD,0,181,58,25.0,8,2009-10-22 22:00:00,2012-02-28 23:00:00,38,48,49,53,49.44736842105263,2009,2012
5779,28654,HRV,0,184,68,36.0,14,2009-04-25 22:00:00,2016-12-10 23:00:00,72,49,43,55,42.125,2009,2016
5780,28655,DEU,0,170,63,32.0,11,2010-03-19 23:00:00,2017-05-27 22:00:00,317,46,46,55,42.74447949526814,2010,2017
