,name_id,name,grade_mean,cluster,coord,lat,lon,pais
137,354,larger than life,66.0,1,"(-37.6827, 176.1692541)",-37.6827,176.1692541,New Zealand/Aotearoa
138,355,levitation,61.92857142857143,2,"(46.1031663, 7.0742573)",46.1031663,7.0742573,Schweiz/Suisse/Svizzera/Svizra
139,357,microwave,63.206896551724135,2,"(31.874853, -92.261104)",31.874853,-92.261104,United States
140,358,moonshadow,69.0,2,"(44.0055507, -123.0659246)",44.0055507,-123.0659246,United States
141,359,mostly harmless,62.142857142857146,2,"(13.0027078, 77.5963338)",13.0027078,77.5963338,India
142,361,nev herrod,48.62068965517241,8,"(36.206411, -115.102253)",36.206411,-115.102253,United States
143,362,new england clam chowder,60.5,1,"(53.983904, -122.833273)",53.983904,-122.833273,Canada
144,364,off the lip,48.59090909090909,2,"(30.071669, -97.122047)",30.071669,-97.122047,United States
145,365,paddington,52.52238805970149,8,"(51.5185075, -0.1787546)",51.5185075,-0.1787546,United Kingdom
146,366,point break,65.0,0,"(-27.8236002, 153.1681063)",-27.8236002,153.1681063,Australia
147,367,puddles,55.125,0,"(48.3899336, -122.4975468)",48.3899336,-122.4975468,United States
148,375,sea air,59.0,2,"(49.177583049999996, -123.1703759567757)",49.17758305,-123.1703759567757,Canada
149,376,search  destroy,68.0,2,"(40.7290952, -73.9885165)",40.7290952,-73.9885165,United States
150,377,shore break,51.12,2,"(45.003199, -1.201226)",45.003199,-1.201226,France
151,379,split wave,48.51456310679612,8,"(43.5080225, 16.4347882)",43.5080225,16.4347882,Hrvatska
152,383,temptation,64.0,2,"(41.780006900000004, -88.12295237513368)",41.7800069,-88.12295237513368,United States
153,384,touch and go,59.0,2,"(45.4654408, 9.197323)",45.4654408,9.197323,Italia
154,386,tsunami,62.11538461538461,2,"(50.411209, 16.456876968930523)",50.411209,16.456876968930523,Polska
155,387,tube,50.76923076923077,8,"(-8.4445561, 124.1283006)",-8.4445561,124.1283006,Indonesia
156,388,tugboat,66.2,2,"(12.0690104, -68.86163402157138)",12.0690104,-68.86163402157138,Nederland
157,391,unplugged,56.90909090909091,2,"(48.2236856, 16.3574536)",48.2236856,16.3574536,Österreich
158,393,white linen,56.67567567567568,2,"(53.7394685, -7.8001009710516716)",53.7394685,-7.800100971051671,Éire / Ireland
159,394,woodpecker,46.0,1,"(53.516667, -122.633333)",53.516667,-122.633333,Canada
160,397,aonang aonang,38.66666666666666,1,"(8.0306001, 98.8304283)",8.0306001,98.8304283,ประเทศไทย
161,400,friendly fire,43.94117647058823,0,"(43.8549977, 18.3994735)",43.8549977,18.3994735,Bosna i Hercegovina / Босна и Херцеговина
162,403,little diego,36.55555555555556,2,"(32.7234579, -117.168272)",32.7234579,-117.168272,United States
163,405,radio baghdad,55.5,3,"(33.2033256, 44.51505474105632)",33.2033256,44.51505474105632,العراق
164,406,schools out,47.333333333333336,0,"(-34.4716547, 150.866653)",-34.4716547,150.866653,Australia
165,408,siesta,50.0,3,"(38.9760947, 1.5274862)",38.9760947,1.5274862,España
166,409,sister rosa,43.41666666666666,2,"(38.441709, -122.7118768)",38.441709,-122.7118768,United States
167,410,sisters of fatima,29.89655172413793,4,"(39.630731100000006, -8.669942074891459)",39.630731100000006,-8.669942074891459,Portugal
168,412,stormin norman,33.8125,4,"(42.7146323, -80.3670421)",42.7146323,-80.3670421,Canada
169,416,war and peace,53.266666666666666,3,"(37.427575149999996, -122.16646304096616)",37.42757515,-122.16646304096616,United States
170,418,bullseye,63.0,1,"(38.5917797, -75.2232432)",38.5917797,-75.2232432,United States
171,419,carat,52.25,0,"(-7.5539626, 112.6708299)",-7.5539626,112.6708299,Indonesia
172,421,diamond jack,52.44444444444444,0,"(47.3294143, -122.0217711)",47.3294143,-122.0217711,United States
173,422,dogbite,66.0,2,"(38.30901, -120.551227)",38.30901,-120.551227,United States
174,424,grey area,70.0,1,"(52.3746905, 4.8888723)",52.3746905,4.8888723,Nederland
175,425,hairline,59.03125,2,"(45.8078746, 15.9975619)",45.8078746,15.9975619,Hrvatska
176,427,light years,65.25,0,"(35.913638, -79.054971)",35.913638,-79.054971,United States
177,429,mr line,67.85714285714286,2,"(5.8237226, -2.8203722)",5.8237226,-2.8203722,Ghana
178,430,mr magoo,57.138888888888886,2,"(43.169843, 13.8002611)",43.169843,13.8002611,Italia
179,432,mr pinky,72.0,2,"(59.9170253, 30.2913746)",59.9170253,30.2913746,Россия
180,433,mr tickle,68.0,2,"(-31.7138663, 152.6026876)",-31.7138663,152.6026876,Australia
181,434,mr universe,64.0,1,"(14.4191222, 120.9914531)",14.4191222,120.9914531,Philippines
182,435,mr weak,55.5,1,"(36.772908, -76.064209)",36.772908,-76.064209,United States
183,436,mr wendle,54.74074074074074,2,"(53.1625355, -2.2076023)",53.1625355,-2.2076023,United Kingdom
184,440,runt,54.8,1,"(47.4535417, -115.7076568)",47.4535417,-115.7076568,United States
185,443,super goo,59.0,2,"(41.85086455, -87.68937935758167)",41.85086455,-87.68937935758167,United States
186,452,aristocat,66.0,2,"(52.1615155, 21.0297099)",52.1615155,21.0297099,Polska
187,453,bandula,68.0,2,"(47.3020477, 16.3476026)",47.3020477,16.3476026,Österreich
188,457,green grass,62.5,2,"(45.1710912, -101.245985)",45.1710912,-101.245985,United States
189,460,ristretto,62.0,1,"(44.7658338, 20.4804015)",44.7658338,20.4804015,Србија
190,461,sitting bull,68.0,7,"(-30.3002, 139.31264)",-30.3002,139.31264,Australia
191,462,tiger cat,70.0,2,"(41.6065395, 2.2884487)",41.6065395,2.2884487,España
192,464,absolute zero,37.285714285714285,1,"(26.2476513, 127.7706416)",26.2476513,127.7706416,日本
193,465,bulls head,40.0,2,"(38.9431663, -79.2108719)",38.9431663,-79.2108719,United States
194,466,cryogenics,48.95652173913044,2,"(43.70668205, 5.776437399999993)",43.70668205,5.776437399999993,France
195,469,easy fit,55.25,2,"(53.0590768, 8.9219495)",53.0590768,8.9219495,Deutschland
196,470,extension lead,45.47619047619048,1,"(40.4694244, -80.0564741)",40.4694244,-80.0564741,United States
197,473,ha ha wall,53.0,2,"(55.7257457, -4.8801034)",55.7257457,-4.8801034,United Kingdom
198,477,meat mallet,50.78947368421053,1,"(14.0096201, -60.9882328)",14.0096201,-60.9882328,Saint Lucia
199,480,optimist,44.5,0,"(51.8399978, 101.6107478)",51.8399978,101.6107478,Россия
200,482,soul sister,33.9,2,"(50.1920466, -119.2501867)",50.1920466,-119.2501867,Canada
201,484,terra incognito,37.36363636363637,1,"(52.8947493, 4.914206051743236)",52.8947493,4.914206051743236,Nederland
202,486,backdraft,37.0,2,"(59.5637193, 17.86179384999999)",59.5637193,17.86179384999999,Sverige
203,489,larch,34.5,7,"(45.7896896, -87.064581)",45.7896896,-87.064581,United States
204,495,critters,53.0,1,"(44.2870839, -73.9850765)",44.2870839,-73.9850765,United States
205,497,dr stein,52.95161290322581,8,"(48.117877, 11.6096748)",48.117877,11.6096748,Deutschland
206,498,eieio,58.5925925925926,0,"(36.2300525, 138.4775282)",36.2300525,138.4775282,日本
207,504,kathy k,52.90909090909091,2,"(61.1309951, -149.8493813)",61.1309951,-149.8493813,United States
208,507,rain maker,50.8,1,"(51.473841, 6.9512672)",51.473841,6.9512672,Deutschland
209,508,room with a view,45.77272727272727,1,"(-77.6971506, 167.1760367)",-77.6971506,167.1760367,unknown
210,509,shaggy da,49.5,1,"(35.6136971, -105.8254072)",35.6136971,-105.8254072,United States
211,510,shark pool,54.66666666666666,2,"(29.5038341, 34.9177965)",29.5038341,34.9177965,ישראל
212,511,side effect,45.833333333333336,2,"(-34.8789936, 138.8208969)",-34.8789936,138.8208969,Australia
